vì răng|vì sao
như răng|như sao
là răng|là sao
biết răng|biết sao
làm răng|làm sao
răng đây|sao đây
răng nữa|sao nữa
răng mà|sao mà
răng rứa|sao vậy
răng hè|sao đây
rứa|vậy
túi ni|tối nay
sáng ni|sáng nay
chiều ni|chiều nay
ngày ni|hôm nay
bữa ni|bây giờ
con ni|con này
thằng ni|thằng này
nầy|này
ri này|thế này
o nớ|cô ấy
ốt dột|ngại
dồi ôi|trời ơi
nớ|đó
mi nã|mi ơi
m nả|m ơi
túi qua|tối qua
túi nớ|tối đó
túi đó|tối đó
túi này|tối này
ngheo|nha
mệt quái|mệt quá
buồn quái|buồn quá
tề|kìa
tau|tao
hắn|nó
mô nà|đâu
phải mô|phải đâu
mô nờ|đâu
con mô|con nào
thằng mô|thằng nào
đứa mô|đứa nào
biết mô|biết đâu
cái mô|cái nào
ở mô|ở đâu
chỗ mô|chỗ nào
chi mô|sao đâu
chuyện mô|chuyện nào
chừng ni|nhiêu đây
gì mô|gì đâu
mệ|bà
mụ|bà
biết chơ|biết mà
mầy|mày
không chi|không sao
chi rứa|gì vậy
chi vại|gì vậy
làm chi|làm gì
chi vậy|gì vậy
biết chi|biết gì
ăn chi|ăn gì
lấy chi|lấy gì
khôn biết|không biết
khôn chi|không sao
là chi|là gì
chuyện chi|chuyện gì
cái chi|cái gì
cấy chi|cái gì
có chi|có gì
nói chi|nói gì

